"Source","File","Change","Status"
"novelparadise","NovelParadise.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"realmnovel","Realmnovel.kt","Jsoup.parseBodyFragment( -> Ksoup.parseBodyFragment(","Replaced"
"realmnovel","Realmnovel.kt","import java.util.Locale -> // import java.util.Locale - Not needed for KMP","Replaced"
"realmnovel","Realmnovel.kt","import org.jsoup.Jsoup -> import com.fleeksoft.ksoup.Ksoup","Replaced"
"realmnovel","Realmnovel.kt","import org.jsoup.nodes.Element -> import com.fleeksoft.ksoup.nodes.Element","Replaced"
"riwyat","Riwyat.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"sunovels","Sunovels.kt","Jsoup.parseBodyFragment( -> Ksoup.parseBodyFragment(","Replaced"
"sunovels","Sunovels.kt","import java.util.Locale -> // import java.util.Locale - Not needed for KMP","Replaced"
"sunovels","Sunovels.kt","import org.jsoup.Jsoup -> import com.fleeksoft.ksoup.Ksoup","Replaced"
"sunovels","Sunovels.kt","import org.jsoup.nodes.Element -> import com.fleeksoft.ksoup.nodes.Element","Replaced"
"teamxnovel","TeamXNovel.kt","import java.util.Calendar -> // import java.util.Calendar - Use kotlinx.datetime","Replaced"
"teamxnovel","TeamXNovel.kt","import java.text.SimpleDateFormat -> import kotlinx.datetime.*","Replaced"
"teamxnovel","TeamXNovel.kt","import java.util.Locale -> // import java.util.Locale - Not needed for KMP","Replaced"
"teamxnovel","TeamXNovel.kt","import org.jsoup.nodes.Element -> import com.fleeksoft.ksoup.nodes.Element","Replaced"
"teamxnovel","TeamXNovel.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"teamxnovel","TeamXNovel.kt","Contains SimpleDateFormat - needs manual migration","NeedsAttention"
"teamxnovel","TeamXNovel.kt","Contains Calendar.getInstance - needs manual migration","NeedsAttention"
"aixdzs","Aixdzs.kt","Jsoup.parse( -> Ksoup.parse(","Replaced"
"aixdzs","Aixdzs.kt","import org.jsoup.Jsoup -> import com.fleeksoft.ksoup.Ksoup","Replaced"
"aixdzs","Aixdzs.kt","import org.jsoup.nodes.Element -> import com.fleeksoft.ksoup.nodes.Element","Replaced"
"aixdzs","Aixdzs.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"sexinsex","sexinsex.kt","Jsoup.parse( -> Ksoup.parse(","Replaced"
"sexinsex","sexinsex.kt","import org.jsoup.Jsoup -> import com.fleeksoft.ksoup.Ksoup","Replaced"
"sexinsex","sexinsex.kt","import org.jsoup.nodes.Element -> import com.fleeksoft.ksoup.nodes.Element","Replaced"
"sexinsex","sexinsex.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"allnovelfull","AllNovelFull.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"bestlightnovel","BestLightNovel.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"boxnovelcom","BoxNovel.kt","import org.jsoup.nodes.Element -> import com.fleeksoft.ksoup.nodes.Element","Replaced"
"boxnovelcom","BoxNovel.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"comrademao","ComradeMao.kt","import java.util.Calendar -> // import java.util.Calendar - Use kotlinx.datetime","Replaced"
"comrademao","ComradeMao.kt","import java.text.SimpleDateFormat -> import kotlinx.datetime.*","Replaced"
"comrademao","ComradeMao.kt","import java.util.Locale -> // import java.util.Locale - Not needed for KMP","Replaced"
"comrademao","ComradeMao.kt","import org.jsoup.nodes.Element -> import com.fleeksoft.ksoup.nodes.Element","Replaced"
"comrademao","ComradeMao.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"comrademao","ComradeMao.kt","Contains SimpleDateFormat - needs manual migration","NeedsAttention"
"comrademao","ComradeMao.kt","Contains Calendar.getInstance - needs manual migration","NeedsAttention"
"dreambigtl","DreamBigTL.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"fanmtl","fanmtl.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"fastnovel","FastNovel.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"fenrir","Fenrir.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"fictionzone","FictionZone.kt","import java.util.Date -> // import java.util.Date - Use kotlinx.datetime","Replaced"
"fictionzone","FictionZone.kt","import java.text.SimpleDateFormat -> import kotlinx.datetime.*","Replaced"
"fictionzone","FictionZone.kt","import java.util.Locale -> // import java.util.Locale - Not needed for KMP","Replaced"
"fictionzone","FictionZone.kt","System.currentTimeMillis() -> Clock.System.now().toEpochMilliseconds()","Replaced"
"fictionzone","FictionZone.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"genesistranslator","GenesisTranslator.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"kissnovellove","KissNovel.kt","import java.util.Calendar -> // import java.util.Calendar - Use kotlinx.datetime","Replaced"
"kissnovellove","KissNovel.kt","import java.text.SimpleDateFormat -> import kotlinx.datetime.*","Replaced"
"kissnovellove","KissNovel.kt","import java.util.Locale -> // import java.util.Locale - Not needed for KMP","Replaced"
"kissnovellove","KissNovel.kt","import org.jsoup.nodes.Element -> import com.fleeksoft.ksoup.nodes.Element","Replaced"
"kissnovellove","KissNovel.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"kissnovellove","KissNovel.kt","Contains SimpleDateFormat - needs manual migration","NeedsAttention"
"kissnovellove","KissNovel.kt","Contains Calendar.getInstance - needs manual migration","NeedsAttention"
"koreanonline","KoreanOnline.kt","import org.jsoup.nodes.Element -> import com.fleeksoft.ksoup.nodes.Element","Replaced"
"koreanonline","KoreanOnline.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"libread","LibRead.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"lightnovelpub","LightNovelPub.kt","import java.util.Calendar -> // import java.util.Calendar - Use kotlinx.datetime","Replaced"
"lightnovelpub","LightNovelPub.kt","import java.text.SimpleDateFormat -> import kotlinx.datetime.*","Replaced"
"lightnovelpub","LightNovelPub.kt","import java.util.Locale -> // import java.util.Locale - Not needed for KMP","Replaced"
"lightnovelpub","LightNovelPub.kt","Contains SimpleDateFormat - needs manual migration","NeedsAttention"
"lightnovelsme","LightNovel.kt","Jsoup.parse( -> Ksoup.parse(","Replaced"
"lightnovelsme","LightNovel.kt","import java.text.SimpleDateFormat -> import kotlinx.datetime.*","Replaced"
"lightnovelsme","LightNovel.kt","import java.util.Locale -> // import java.util.Locale - Not needed for KMP","Replaced"
"lightnovelsme","LightNovel.kt","import org.jsoup.Jsoup -> import com.fleeksoft.ksoup.Ksoup","Replaced"
"lightnovelsme","LightNovel.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"lightnovelsme","LightNovel.kt","Contains SimpleDateFormat - needs manual migration","NeedsAttention"
"main","ReadNovelFullPlugin.kt","import org.jsoup.nodes.Element -> import com.fleeksoft.ksoup.nodes.Element","Replaced"
"main","ReadNovelFullPlugin.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"mtlnation","Mtlarchive.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"mylovenovel","MyLoveNovel.kt","import org.jsoup.nodes.Element -> import com.fleeksoft.ksoup.nodes.Element","Replaced"
"mylovenovel","MyLoveNovel.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"novelbuddy","NovelBuddy.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"novelfire","Novelfire.kt","Jsoup.parse( -> Ksoup.parse(","Replaced"
"novelfire","Novelfire.kt","import org.jsoup.Jsoup -> import com.fleeksoft.ksoup.Ksoup","Replaced"
"novelfire","Novelfire.kt","import org.jsoup.nodes.Element -> import com.fleeksoft.ksoup.nodes.Element","Replaced"
"novelfire","Novelfire.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"novelfull","NovelFull.kt","import org.jsoup.nodes.Element -> import com.fleeksoft.ksoup.nodes.Element","Replaced"
